1880,201482
1881,192696
1882,221534
1883,216945
1884,243463
1885,240854
1886,255319
1887,247396
1888,299474
1889,288948
1890,301401
1891,286675
1892,334377
1893,325222
1894,338692
1895,351024
1896,357486
1897,346958
1898,381461
1899,339235
1900,450312
1901,345816
1902,386734
1903,381205
1904,403496
1905,423941
1906,428461
1907,465395
1908,488658
1909,511231
1910,590719
1911,644271
1912,988059
1913,1137094
1914,1416325
1915,1832479
1916,1934423
1917,2006798
1918,2171173
1919,2110271
1920,2262732
1921,2334466
1922,2289237
1923,2302513
1924,2381651
1925,2333317
1926,2295866
1927,2319167
1928,2260682
1929,2191868
1930,2223041
1931,2103795
1932,2110903
1933,1998953
1934,2076390
1935,2089451
1936,2077252
1937,2130258
1938,2212192
1939,2203166
1940,2302300
1941,2435953
1942,2731383
1943,2822023
1944,2689735
1945,2652676
1946,3194937
1947,3601943
1948,3452247
1949,3484586
1950,3504924
1951,3682005
1952,3798208
1953,3852044
1954,3979147
1955,4012757
1956,4121274
1957,4200146
1958,4131784
1959,4156617
1960,4154877
1961,4140040
1962,4035565
1963,3958985
1964,3888029
1965,3626440
1966,3475917
1967,3395346
1968,3379166
1969,3476709
1970,3607897
1971,3432862
1972,3143970
1973,3017571
1974,3040646
1975,3020048
1976,3035149
1977,3176872
1978,3174146
1979,3327234
1980,3444130
1981,3458712
1982,3507029
1983,3462131
1984,3487106
1985,3567395
1986,3555131
1987,3603785
1988,3692739
1989,3843257
1990,3950469
1991,3894012
1992,3839875
1993,3768994
1994,3716497
1995,3660981
1996,3645912
1997,3624287
1998,3676499
1999,3691772
2000,3777294
2001,3740600
2002,3735317
2003,3799121
2004,3817389
2005,3840755
2006,3951428
2007,3992280
2008,3924410
2009,3813356
2010,3688069
2011,3648686
2012,3646143
2013,3631489
2014,3688118
2015,3668183
